"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"153063152302024OB000003";"153063152302023LB000103";"02/01/2024";"1";"Banco do Brasil S.A.";"3702";"781,33"
"153063152302024OB000004";"153063152302023LB000100";"02/01/2024";"237";"Banco Bradesco S.A.";"0763";"4179033,35"
"153063152302024OB000005";"153063152302023LB000098";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3237";"6842119,38"
"153063152302024OB000006";"153063152302023LB000097";"02/01/2024";"1";"Banco do Brasil S.A.";"3702";"52413064,39"
"153063152302024OB000007";"153063152302023LB000102";"02/01/2024";"1";"Banco do Brasil S.A.";"3702";"584772,00"
"153063152302024OB000007";"153063152302023LB000102";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3237";"60266,67"
"153063152302024OB000007";"153063152302023LB000102";"02/01/2024";"104";"Caixa Econômica Federal";"0666";"217299,10"
"153063152302024OB000007";"153063152302023LB000102";"02/01/2024";"237";"Banco Bradesco S.A.";"0763";"51306,61"
"153063152302024OB000007";"153063152302023LB000102";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"54941,39"
"153063152302024OB000010";"153063152302023LB000104";"02/01/2024";"1";"Banco do Brasil S.A.";"3702";"3523536,93"
"153063152302024OB000010";"153063152302023LB000104";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3237";"511609,11"
"153063152302024OB000010";"153063152302023LB000104";"02/01/2024";"104";"Caixa Econômica Federal";"0666";"925372,87"
"153063152302024OB000010";"153063152302023LB000104";"02/01/2024";"237";"Banco Bradesco S.A.";"0763";"295945,93"
"153063152302024OB000010";"153063152302023LB000104";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"164195,88"
"153063152302024OB000011";"153063152302023LB000099";"02/01/2024";"104";"Caixa Econômica Federal";"0666";"12087280,35"
"153063152302024OB000049";"153063152302023LB000101";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1121634,29"
"153103152342024OB000021";"153103152342023LB000047";"02/01/2024";"1";"Banco do Brasil S.A.";"1668";"59532824,35"
"153103152342024OB000021";"153103152342023LB000047";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0080";"7882076,16"
