"Código Pagamento";"Código Lista";"Data Emissão";"Código Sequência";"Valor Lançamento em R$";"Valor Desconto em R$";"Valor Juros em R$";"Valor Dedução em R$";"Valor Acréscimo em R$"
"114601113012024OB000078";"114601113012023LF000840";"02/01/2024";"1";"34135,48";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000079";"114601113012023LF000841";"02/01/2024";"1";"43669,37";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000001";"114623113012023LF000929";"02/01/2024";"1";"8,51";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000002";"114623113012023LF000938";"02/01/2024";"1";"10,44";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000003";"114623113012023LF000934";"02/01/2024";"1";"35,23";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000004";"114623113012023LF000928";"02/01/2024";"1";"4,71";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000005";"114623113012023LF000936";"02/01/2024";"1";"33,53";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000006";"114623113012023LF000937";"02/01/2024";"1";"2,77";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000007";"114623113012023LF000933";"02/01/2024";"1";"5,32";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000008";"114623113012023LF000930";"02/01/2024";"1";"1,79";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000009";"114623113012023LF000935";"02/01/2024";"1";"1,99";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000010";"114623113012023LF000932";"02/01/2024";"1";"23,56";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000011";"114623113012023LF000931";"02/01/2024";"1";"13,23";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000012";"114623113012023LF000939";"02/01/2024";"1";"1,89";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000013";"114623113012023LF000944";"02/01/2024";"1";"2,56";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000014";"114623113012023LF000942";"02/01/2024";"1";"16,87";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000015";"114623113012023LF000945";"02/01/2024";"1";"2,05";"0,00";"0,00";"0,00";"0,00"
"114623113012024OB000016";"114623113012023LF000940";"02/01/2024";"1";"30,73";"0,00";"0,00";"0,00";"0,00"
