"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170198 - DELEGACIA DA RFB EM GOIANIA";"224.455,04";"155.624,36";"154.794,39";"13.067,14";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"265.276,26";"181.614,45";"117.591,35";"10.035,24";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170103 - DELEGACIA DA RFB EM VITORIA";"12.300,00";"12.513,29";"12.513,29";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170081 - DELEGACIA DA RFB EM VITORIA DA CONQUISTA";"345.101,83";"347.185,41";"324.514,21";"216.061,37";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170219 - DELEGACIA DA RFB EM SANTAREM";"0,00";"4.400,00";"4.400,00";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170133 - SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"6.412.542,25";"8.532.009,87";"8.432.115,18";"83.463,45";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170146 - DELEGACIA DA RFB EM OSASCO";"2.281,68";"484,38";"541,98";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170178 - DELEGACIA DA RFB EM CAXIAS DO SUL";"133.033,25";"329.424,48";"337.809,58";"214.323,57";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"25.000,00";"12.871.383,08";"12.871.383,08";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170092 - DELEGACIA DA RFB EM JUIZ DE FORA";"4.505,00";"720,00";"720,00";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170219 - DELEGACIA DA RFB EM SANTAREM";"0,00";"- 3,00";"- 3,00";"0,00";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170024 - DELEGACIA DA RFB EM MACAPA";"1.620,00";"0,00";"0,00";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170035 - DELEGACIA DA RFB EM TERESINA";"509.989,08";"5.650,18";"5.082,51";"196.930,02";
